date,region,plan,seats,seat_price_usd
2025-03-18,EMEA,Scale,2,249
2025-03-19,EMEA,Solo,2,29
2025-03-20,AMER,Solo,10,29
2025-03-20,EMEA,Scale,1,249
2025-03-20,EMEA,Team,1,79
2025-03-21,EMEA,Solo,1,29
2025-03-22,EMEA,Team,1,79
2025-03-24,APAC,Team,1,79
2025-03-25,LATAM,Scale,5,249
2025-03-27,APAC,Scale,1,249
2025-03-27,EMEA,Team,5,79
2025-03-28,EMEA,Solo,2,29
2025-03-29,APAC,Team,3,79
2025-03-31,AMER,Scale,2,249
2025-03-31,AMER,Team,1,79
2025-03-31,APAC,Team,11,79
2025-03-31,EMEA,Team,5,79
2025-04-01,APAC,Enterprise,1,999
2025-04-03,APAC,Team,1,79
2025-04-03,LATAM,Team,3,79
2025-04-06,AMER,Solo,5,29
2025-04-06,EMEA,Team,10,79
2025-04-10,AMER,Enterprise,10,999
2025-04-15,AMER,Solo,1,29
2025-04-17,EMEA,Solo,1,29
2025-04-18,APAC,Solo,2,29
2025-04-18,EMEA,Team,2,79
2025-04-19,LATAM,Scale,2,249
2025-04-20,AMER,Scale,1,249
2025-04-21,APAC,Team,3,79
2025-04-22,LATAM,Team,2,79
2025-04-23,EMEA,Team,1,79
2025-04-23,EMEA,Team,2,79
2025-04-24,APAC,Scale,11,249
2025-04-25,AMER,Solo,1,29
2025-04-26,APAC,Solo,6,29
2025-04-26,APAC,Team,11,79
2025-04-27,AMER,Solo,3,29
2025-04-27,EMEA,Scale,1,249
2025-04-30,EMEA,Solo,1,29
2025-05-01,APAC,Solo,2,29
2025-05-02,EMEA,Solo,1,29
2025-05-03,AMER,Solo,1,29
2025-05-03,APAC,Solo,1,29
2025-05-04,EMEA,Team,1,79
2025-05-06,AMER,Solo,10,29
2025-05-08,APAC,Solo,3,29
2025-05-09,AMER,Team,1,79
2025-05-09,LATAM,Scale,1,249
2025-05-15,EMEA,Scale,10,249
2025-05-16,AMER,Team,1,79
2025-05-16,AMER,Team,2,79
2025-05-16,EMEA,Solo,5,29
2025-05-17,AMER,Team,1,79
2025-05-18,AMER,Scale,2,249
2025-05-20,APAC,Solo,3,29
2025-05-20,EMEA,Solo,1,29
2025-05-21,EMEA,Solo,1,29
2025-05-22,AMER,Solo,5,29
2025-05-22,APAC,Scale,1,249
2025-05-23,APAC,Solo,3,29
2025-05-24,AMER,Solo,1,29
2025-05-26,AMER,Scale,10,249
2025-05-27,AMER,Scale,5,249
2025-05-27,AMER,Solo,5,29
2025-05-27,APAC,Solo,3,29
2025-05-28,APAC,Team,1,79
2025-05-28,EMEA,Solo,3,29
2025-05-28,LATAM,Team,1,79
2025-05-29,AMER,Solo,3,29
2025-05-29,LATAM,Scale,5,249
2025-05-30,EMEA,Solo,3,29
2025-05-31,AMER,Team,1,79
2025-05-31,APAC,Team,6,79
2025-06-02,APAC,Enterprise,1,999
2025-06-03,EMEA,Enterprise,10,999
2025-06-03,EMEA,Team,1,79
2025-06-04,APAC,Team,1,79
2025-06-04,EMEA,Scale,1,249
2025-06-04,LATAM,Scale,3,249
2025-06-05,APAC,Enterprise,2,999
2025-06-07,AMER,Solo,2,29
2025-06-08,EMEA,Team,1,79
2025-06-09,EMEA,Team,1,79
2025-06-10,AMER,Solo,2,29
2025-06-10,AMER,Team,2,79
2025-06-10,EMEA,Enterprise,1,999
2025-06-10,EMEA,Team,3,79
2025-06-11,AMER,Team,5,79
2025-06-12,EMEA,Scale,2,249
2025-06-14,AMER,Solo,1,29
2025-06-14,EMEA,Team,10,79
2025-06-15,EMEA,Solo,1,29
2025-06-16,AMER,Solo,3,29
2025-06-17,AMER,Solo,3,29
2025-06-17,APAC,Solo,1,29
2025-06-18,APAC,Scale,1,249
2025-06-18,EMEA,Solo,5,29
2025-06-19,AMER,Scale,1,249
2025-06-19,EMEA,Team,1,79
2025-06-21,AMER,Solo,2,29
2025-06-22,AMER,Solo,1,29
2025-06-23,AMER,Scale,1,249
2025-06-23,APAC,Solo,1,29
2025-06-23,EMEA,Solo,2,29
2025-06-24,AMER,Team,5,79
2025-06-26,EMEA,Scale,3,249
2025-06-28,AMER,Enterprise,2,999
2025-06-28,APAC,Scale,1,249
2025-06-29,AMER,Solo,10,29
2025-07-02,APAC,Solo,4,29
2025-07-03,EMEA,Enterprise,1,999
2025-07-04,AMER,Team,2,79
2025-07-05,AMER,Scale,1,249
2025-07-06,AMER,Solo,1,29
2025-07-08,AMER,Team,3,79
2025-07-09,AMER,Solo,10,29
2025-07-09,AMER,Team,1,79
2025-07-09,AMER,Team,3,79
2025-07-10,EMEA,Solo,3,29
2025-07-12,EMEA,Team,1,79
2025-07-14,AMER,Enterprise,1,999
2025-07-14,AMER,Team,1,79
2025-07-14,EMEA,Scale,2,249
2025-07-15,EMEA,Team,3,79
2025-07-16,APAC,Solo,1,29
2025-07-18,EMEA,Team,3,79
2025-07-19,APAC,Enterprise,1,999
2025-07-24,APAC,Scale,1,249
2025-07-24,EMEA,Scale,1,249
2025-07-26,AMER,Scale,1,249
2025-07-26,APAC,Scale,1,249
2025-07-28,AMER,Enterprise,5,999
2025-07-28,AMER,Solo,1,29
2025-07-28,EMEA,Scale,2,249
2025-07-29,AMER,Solo,1,29
2025-07-29,APAC,Enterprise,1,999
2025-07-30,AMER,Team,3,79
2025-07-30,AMER,Team,10,79
2025-07-30,APAC,Scale,4,249
2025-08-01,AMER,Team,1,79
2025-08-01,EMEA,Scale,2,249
2025-08-02,AMER,Solo,10,29
2025-08-03,LATAM,Scale,3,249
2025-08-04,APAC,Solo,12,29
2025-08-05,APAC,Team,12,79
2025-08-05,EMEA,Scale,1,249
2025-08-06,EMEA,Team,1,79
2025-08-06,EMEA,Team,1,79
2025-08-08,APAC,Enterprise,4,999
2025-08-09,EMEA,Scale,2,249
2025-08-13,LATAM,Team,2,79
2025-08-14,AMER,Enterprise,1,999
2025-08-14,AMER,Team,1,79
2025-08-15,LATAM,Enterprise,1,999
2025-08-17,EMEA,Solo,2,29
2025-08-18,EMEA,Scale,1,249
2025-08-18,EMEA,Scale,2,249
2025-08-19,AMER,Scale,1,249
2025-08-19,AMER,Solo,2,29
2025-08-19,EMEA,Team,1,79
2025-08-20,EMEA,Enterprise,1,999
2025-08-21,AMER,Solo,2,29
2025-08-21,AMER,Team,3,79
2025-08-23,AMER,Scale,2,249
2025-08-23,AMER,Solo,3,29
2025-08-24,AMER,Scale,5,249
2025-08-25,APAC,Scale,2,249
2025-08-25,EMEA,Solo,3,29
2025-08-25,LATAM,Team,1,79
2025-08-27,APAC,Team,1,79
2025-08-27,EMEA,Solo,1,29
2025-08-27,EMEA,Team,2,79
2025-08-30,AMER,Team,1,79
2025-08-30,APAC,Solo,4,29
2025-09-01,EMEA,Solo,2,29
2025-09-02,AMER,Solo,2,29
2025-09-03,EMEA,Scale,1,249
2025-09-04,LATAM,Solo,5,29
2025-09-05,AMER,Team,3,79
2025-09-10,AMER,Solo,2,29
2025-09-10,EMEA,Team,5,79
2025-09-14,APAC,Team,1,79
2025-09-17,AMER,Solo,3,29
2025-09-17,APAC,Scale,6,249
2025-09-17,EMEA,Solo,2,29
2025-09-18,AMER,Solo,1,29
2025-09-18,EMEA,Scale,5,249
2025-09-20,AMER,Team,1,79
2025-09-20,AMER,Team,10,79
2025-09-22,EMEA,Solo,1,29
2025-09-23,AMER,Solo,1,29
2025-09-24,EMEA,Solo,1,29
2025-09-24,LATAM,Team,3,79
2025-09-28,EMEA,Scale,1,249
2025-09-29,AMER,Enterprise,1,999
2025-09-29,AMER,Team,1,79
2025-09-29,APAC,Team,2,79
2025-09-29,EMEA,Team,1,79
2025-09-30,APAC,Solo,2,29
2025-10-01,AMER,Enterprise,4,999
2025-10-02,AMER,Enterprise,1,999
2025-10-02,AMER,Solo,4,29
2025-10-02,AMER,Team,1,79
2025-10-02,EMEA,Team,1,79
2025-10-02,LATAM,Team,1,79
2025-10-03,APAC,Team,5,79
2025-10-04,APAC,Solo,3,29
2025-10-04,EMEA,Team,1,79
2025-10-05,AMER,Solo,3,29
2025-10-05,EMEA,Solo,3,29
2025-10-06,AMER,Enterprise,7,999
2025-10-06,AMER,Solo,1,29
2025-10-06,APAC,Team,2,79
2025-10-06,EMEA,Solo,3,29
2025-10-07,APAC,Scale,3,249
2025-10-08,EMEA,Solo,7,29
2025-10-09,AMER,Team,1,79
2025-10-09,AMER,Team,3,79
2025-10-09,AMER,Team,3,79
2025-10-10,APAC,Solo,2,29
2025-10-12,AMER,Enterprise,1,999
2025-10-12,AMER,Scale,3,249
2025-10-12,EMEA,Team,1,79
2025-10-13,AMER,Scale,1,249
2025-10-13,APAC,Team,5,79
2025-10-14,APAC,Scale,2,249
2025-10-14,EMEA,Enterprise,7,999
2025-10-15,AMER,Team,3,79
2025-10-15,EMEA,Team,1,79
2025-10-16,LATAM,Solo,1,29
2025-10-17,AMER,Scale,3,249
2025-10-17,APAC,Solo,2,29
2025-10-17,EMEA,Enterprise,1,999
2025-10-19,APAC,Team,3,79
2025-10-19,EMEA,Solo,1,29
2025-10-20,EMEA,Solo,3,29
2025-10-20,EMEA,Team,1,79
2025-10-22,AMER,Solo,1,29
2025-10-23,AMER,Solo,1,29
2025-10-23,AMER,Solo,3,29
2025-10-23,EMEA,Solo,1,29
2025-10-24,AMER,Solo,3,29
2025-10-24,AMER,Solo,7,29
2025-10-25,AMER,Team,1,79
2025-10-26,EMEA,Solo,14,29
2025-10-27,LATAM,Solo,7,29
2025-10-28,AMER,Scale,1,249
2025-10-28,EMEA,Team,7,79
2025-10-29,EMEA,Enterprise,1,999
2025-10-29,EMEA,Solo,7,29
2025-10-30,AMER,Solo,4,29
2025-10-31,AMER,Scale,4,249
2025-10-31,EMEA,Solo,3,29
2025-11-01,AMER,Solo,3,29
2025-11-01,EMEA,Team,3,79
2025-11-02,AMER,Solo,1,29
2025-11-02,AMER,Solo,1,29
2025-11-02,AMER,Solo,4,29
2025-11-02,EMEA,Team,3,79
2025-11-03,EMEA,Scale,7,249
2025-11-04,AMER,Solo,3,29
2025-11-05,AMER,Scale,1,249
2025-11-05,APAC,Solo,3,29
2025-11-09,AMER,Team,1,79
2025-11-10,APAC,Scale,2,249
2025-11-11,EMEA,Team,3,79
2025-11-13,AMER,Solo,1,29
2025-11-14,AMER,Enterprise,1,999
2025-11-14,AMER,Scale,4,249
2025-11-14,APAC,Enterprise,2,999
2025-11-15,APAC,Team,5,79
2025-11-16,AMER,Enterprise,1,999
2025-11-16,APAC,Solo,2,29
2025-11-16,EMEA,Team,1,79
2025-11-17,AMER,Team,3,79
2025-11-18,AMER,Team,4,79
2025-11-18,EMEA,Scale,4,249
2025-11-18,EMEA,Solo,1,29
2025-11-21,AMER,Team,7,79
2025-11-22,APAC,Scale,2,249
2025-11-22,APAC,Team,2,79
2025-11-22,EMEA,Solo,4,29
2025-11-23,AMER,Solo,1,29
2025-11-24,AMER,Team,1,79
2025-11-24,EMEA,Solo,1,29
2025-11-25,AMER,Solo,1,29
2025-11-26,EMEA,Solo,1,29
2025-11-27,APAC,Team,2,79
2025-11-29,AMER,Solo,1,29
2025-11-29,APAC,Team,2,79
2025-12-01,EMEA,Team,3,79
2025-12-01,LATAM,Solo,1,29
2025-12-03,APAC,Solo,2,29
2025-12-04,EMEA,Solo,1,29
2025-12-04,EMEA,Solo,7,29
2025-12-04,EMEA,Team,14,79
2025-12-06,AMER,Scale,1,249
2025-12-06,EMEA,Team,14,79
2025-12-09,EMEA,Team,4,79
2025-12-10,AMER,Team,14,79
2025-12-11,AMER,Scale,1,249
2025-12-11,APAC,Team,5,79
2025-12-12,APAC,Team,17,79
2025-12-14,APAC,Team,5,79
2025-12-14,EMEA,Team,1,79
2025-12-16,EMEA,Team,1,79
2025-12-17,APAC,Solo,3,29
2025-12-18,AMER,Solo,4,29
2025-12-19,AMER,Scale,4,249
2025-12-20,APAC,Solo,5,29
2025-12-23,AMER,Solo,1,29
2025-12-23,AMER,Solo,1,29
2025-12-23,EMEA,Solo,1,29
2025-12-24,AMER,Solo,7,29
2025-12-24,EMEA,Solo,1,29
2025-12-24,EMEA,Solo,3,29
2025-12-24,LATAM,Team,4,79
2025-12-26,APAC,Enterprise,2,999
2025-12-28,AMER,Solo,1,29
